0,000	3578972407,670	44,358	3578972452,029	0,110	3578972452,139	1,800	3578972453,939	0,440	3578972454,379	7,012	3578972461,392
5110,000	3578973210,881	43,381	3578973254,262	0,110	3578973254,372	1,780	3578973256,153	0,440	3578973256,593	7,011	3578973263,603
7829,000	3578973674,462	46,967	3578973721,429	0,110	3578973721,539	1,800	3578973723,339	0,440	3578973723,779	6,860	3578973730,639
9606,000	3578974104,835	37,798	3578974142,633	0,110	3578974142,743	1,820	3578974144,563	0,440	3578974145,003	6,910	3578974151,913
3803,000	3578974670,335	44,129	3578974714,464	0,110	3578974714,574	1,812	3578974716,386	0,439	3578974716,825	6,960	3578974723,785
7494,000	3578975442,268	39,671	3578975481,939	0,110	3578975482,049	1,818	3578975483,867	0,440	3578975484,307	7,211	3578975491,518
5866,000	3578976970,569	35,022	3578977005,590	0,110	3578977005,700	1,774	3578977007,474	0,440	3578977007,914	7,011	3578977014,925
905,000	3578978326,387	48,302	3578978374,689	0,110	3578978374,799	1,882	3578978376,681	0,440	3578978377,121	7,111	3578978384,232
7881,000	3578978865,569	44,702	3578978910,272	0,110	3578978910,382	1,774	3578978912,156	0,440	3578978912,596	6,960	3578978919,556
901,000	3578979445,903	42,088	3578979487,991	0,110	3578979488,101	1,802	3578979489,903	0,440	3578979490,343	6,960	3578979497,303
7836,000	3578980188,379	44,487	3578980232,866	0,110	3578980232,976	1,838	3578980234,814	0,440	3578980235,254	6,709	3578980241,963
7684,000	3578980657,746	42,411	3578980700,157	0,110	3578980700,267	1,803	3578980702,070	0,440	3578980702,511	6,761	3578980709,271
7833,000	3578981681,086	50,412	3578981731,498	0,110	3578981731,608	1,806	3578981733,415	0,440	3578981733,855	6,711	3578981740,565
7491,000	3578982156,812	42,302	3578982199,114	0,110	3578982199,224	1,909	3578982201,133	0,440	3578982201,573	6,811	3578982208,384
9601,000	3578982579,688	42,578	3578982622,266	0,110	3578982622,376	1,871	3578982624,247	0,440	3578982624,687	7,059	3578982631,746
7678,000	3578983091,606	38,298	3578983129,904	0,110	3578983130,014	1,822	3578983131,836	0,440	3578983132,276	7,120	3578983139,396
3812,000	3578983678,719	38,878	3578983717,597	0,110	3578983717,707	1,852	3578983719,559	0,440	3578983719,999	6,759	3578983726,758
9605,000	3578984144,382	41,432	3578984185,814	0,110	3578984185,924	1,802	3578984187,726	0,440	3578984188,166	7,110	3578984195,276
3805,000	3578984696,928	48,823	3578984745,751	0,110	3578984745,861	1,828	3578984747,689	0,440	3578984748,129	6,770	3578984754,899
3799,000	3578985334,089	45,203	3578985379,291	0,110	3578985379,401	1,774	3578985381,175	0,440	3578985381,615	7,160	3578985388,775
3808,000	3578985844,626	44,182	3578985888,808	0,109	3578985888,917	1,773	3578985890,690	0,440	3578985891,130	6,861	3578985897,991
9613,000	3578988131,948	41,312	3578988173,261	0,110	3578988173,371	1,820	3578988175,191	0,440	3578988175,631	6,710	3578988182,340
3818,000	3578993032,830	35,932	3578993068,761	0,110	3578993068,871	1,762	3578993070,633	0,440	3578993071,073	6,860	3578993077,933
7679,000	3578993525,531	47,032	3578993572,563	0,110	3578993572,673	1,790	3578993574,463	0,440	3578993574,903	7,008	3578993581,911
7492,000	3578994162,139	39,619	3578994201,758	0,110	3578994201,868	1,800	3578994203,668	0,440	3578994204,108	6,810	3578994210,918
3820,000	3578994505,574	38,697	3578994544,271	0,110	3578994544,381	1,820	3578994546,201	0,440	3578994546,641	7,010	3578994553,651
9604,000	3578994935,268	37,752	3578994973,020	0,110	3578994973,130	1,752	3578994974,882	0,440	3578994975,322	6,760	3578994982,081
7835,000	3578996718,815	35,522	3578996754,337	0,110	3578996754,447	1,770	3578996756,217	0,440	3578996756,657	7,060	3578996763,717
7678,000	3578998413,579	35,072	3578998448,650	0,110	3578998448,760	1,810	3578998450,570	0,440	3578998451,010	6,861	3578998457,871
5866,000	3578998983,584	34,671	3578999018,255	0,110	3578999018,365	1,780	3578999020,145	0,440	3578999020,585	7,061	3578999027,646
7496,000	3578999633,741	38,033	3578999671,773	0,110	3578999671,883	1,740	3578999673,624	0,440	3578999674,064	7,111	3578999681,174
9603,000	3579001494,451	40,388	3579001534,839	0,110	3579001534,949	1,779	3579001536,728	0,440	3579001537,168	7,010	3579001544,178
9605,000	3579001917,251	37,348	3579001954,599	0,110	3579001954,709	1,799	3579001956,508	0,440	3579001956,948	7,110	3579001964,058
7681,000	3579002672,314	49,023	3579002721,337	0,110	3579002721,447	1,742	3579002723,189	0,440	3579002723,629	7,101	3579002730,730
9606,000	3579003120,641	38,094	3579003158,734	0,110	3579003158,844	1,811	3579003160,656	0,440	3579003161,096	7,161	3579003168,256
901,000	3579003811,287	40,483	3579003851,770	0,110	3579003851,880	1,800	3579003853,680	0,440	3579003854,120	6,811	3579003860,931
5110,000	3579004731,337	38,838	3579004770,175	0,110	3579004770,285	1,750	3579004772,035	0,440	3579004772,475	6,860	3579004779,335
7836,000	3579005429,108	47,833	3579005476,940	0,110	3579005477,050	1,801	3579005478,851	0,440	3579005479,292	7,161	3579005486,452
910,000	3579005935,277	38,853	3579005974,130	0,110	3579005974,240	1,780	3579005976,020	0,440	3579005976,460	7,110	3579005983,570
3793,000	3579006635,565	43,451	3579006679,016	0,110	3579006679,126	1,780	3579006680,907	0,440	3579006681,347	7,061	3579006688,407
3812,000	3579007045,433	40,062	3579007085,495	0,110	3579007085,605	1,711	3579007087,316	0,440	3579007087,756	7,111	3579007094,867
